Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,18022022,582721270,0001941
Trade Date <18-FEB-2022>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1167,NCLIND,EQ,229279,122010,53.21
20,1168,NCPSESDL24,EQ,200,190,95.00
20,1169,NDGL,EQ,196,111,56.63
20,1170,NDL,EQ,40043,28677,71.62
20,1171,NDRAUTO,EQ,13987,2407,17.21
20,1172,NDTV,EQ,587911,167588,28.51
20,1173,NECCLTD,EQ,70000,40262,57.52
20,1174,NECLIFE,EQ,231255,132792,57.42
20,1175,NELCAST,EQ,35461,21827,61.55
20,1176,NEOGEN,EQ,75974,28148,37.05
20,1177,NESCO,EQ,18558,8408,45.31
20,1178,NESTLEIND,EQ,96328,43800,45.47
20,1179,NETF,EQ,974,644,66.12
20,1180,NETFAUTO,EQ,9828,8198,83.41
20,1181,NETFCONSUM,EQ,2286,2101,91.91
20,1182,NETFDIVOPP,EQ,3795,2228,58.71
20,1183,NETFGILT5Y,EQ,52797,50304,95.28
20,1184,NETFIT,EQ,588809,299997,50.95
20,1185,NETFLTGILT,EQ,43376,40817,94.10
20,1186,NETFMID150,EQ,63794,44837,70.28
20,1187,NETFNIF100,EQ,1683,1393,82.77
20,1188,NETFNV20,EQ,4948,4936,99.76
20,1189,NETFPHARMA,EQ,116182,92470,79.59
20,1190,NETFSDL26,EQ,19118,19114,99.98
20,1191,NETFSILVER,EQ,479087,417538,87.15
20,1192,NETWORK18,EQ,722236,369620,51.18
20,1193,NEULANDLAB,EQ,16220,7454,45.96
20,1194,NEWGEN,EQ,33948,16142,47.55
20,1195,NFL,EQ,257427,126579,49.17
20,1196,NH,EQ,122009,60094,49.25
20,1197,NHAI,N2,3127,2987,95.52
20,1198,NHAI,N3,10,10,100.00
20,1199,NHAI,N5,252,251,99.60
20,1200,NHAI,N6,1552,1502,96.78
20,1201,NHAI,N8,67,67,100.00
20,1202,NHAI,N9,68,68,100.00
20,1203,NHAI,NA,2863,2474,86.41
20,1204,NHAI,ND,76,76,100.00
20,1205,NHAI,NE,111,111,100.00
20,1206,NHBTF2014,N3,3000,3000,100.00
20,1207,NHBTF2014,N5,19,19,100.00
20,1208,NHBTF2014,N6,43,43,100.00
20,1209,NHBTF2023,N6,6,6,100.00
20,1210,NHPC,EQ,2232378,1038211,46.51
20,1211,NHPC,N5,35,30,85.71
20,1212,NHPC,N6,11,11,100.00
20,1213,NIACL,EQ,87110,44447,51.02
20,1214,NIBL,EQ,12968,8725,67.28
20,1215,NIDAN,SM,14000,11000,78.57
20,1216,NIFTYBEES,EQ,1659566,597404,36.00
20,1217,NIITLTD,EQ,513641,197776,38.50
20,1218,NILAINFRA,EQ,377034,318251,84.41
20,1219,NILKAMAL,EQ,3926,762,19.41
20,1220,NIPPOBATRY,EQ,4774,2134,44.70
